"gender","lang","ses","minor","sch","prog","locus","concept","mot","career","read","write","math","sci","ss"
"female","english","middle","no","public","vocation",0.02,-0.32,1,"homemaker",46.9,46.3,52,47.7,45.6
"male","english","middle","no","public","academic",0.06,0.03,0,"proprietor",46.9,51.5,57.2,52.6,60.5
"female","english","high","no","private","academic",1.16,0.09,1,"prof1",46.9,52.1,42.5,47.7,60.5
"female","english","low","no","public","general",1.36,0.65,1,"service",46.9,51.5,57,49.8,40.6
"male","english","high","no","public","vocation",0.46,0.63,0.67,"craftsman",46.9,52.8,49.3,53.1,35.6
"female","mandarin","middle","yes","public","general",-1.09,0.03,0.33,"craftsman",46.9,43.7,41.9,41.7,35.6
"female","english","low","no","public","academic",0.68,0.88,1,"prof1",46.9,61.9,53,52.6,60.5
"male","spanish","middle","yes","public","academic",0.06,0.56,0.33,"prof1",46.9,41.1,45.3,47.1,55.6
"male","english","low","no","public","vocation",-0.44,-0.55,0.33,"homemaker",46.9,38.5,47.1,41.7,25.7
"female","english","low","yes","private","general",0.7,0.87,1,"clerical",46.9,54.1,46.4,49.8,55.6
"female","english","middle","no","private","vocation",-0.59,0.28,1,"school",46.9,51.5,48.5,49.8,50.6
"male","spanish","high","yes","public","academic",0.21,-0.28,0.67,"protective",46.9,41.1,53.6,41.7,55.6
"male","mandarin","low","yes","public","general",0.71,0.03,1,"prof2",46.9,61.9,46.2,60.7,45.6
"male","english","high","no","public","academic",-0.41,0.28,0.33,"technical",46.9,35.9,42.6,58,55.6
"male","spanish","low","yes","public","academic",-1.1,0.03,0,"military",46.9,40.4,42.8,45,30.6
"female","spanish","middle","yes","public","vocation",-1.05,-1.65,0,"prof1",46.9,46.3,38.6,47.1,60.5
"male","english","low","no","public","vocation",0.46,-1.17,0.33,"laborer",46.9,30.7,40.3,58,35.6
"female","english","middle","no","private","academic",0.52,0.34,1,"prof2",46.9,64.5,59.6,49.8,55.6
"male","english","middle","no","private","academic",0.06,0.03,0.67,"technical",46.9,56.7,56.1,60.7,55.6
"male","english","high","no","public","general",0.93,0.34,1,"prof2",46.9,54.1,54.6,55.3,50.6
"female","spanish","middle","yes","public","general",-0.6,-0.47,0.67,"prof1",46.9,54.1,49,52.6,60.5
"male","spanish","middle","yes","public","general",-0.44,-0.84,0.33,"craftsman",46.9,46.3,45.9,37.9,45.6
"female","english","middle","no","private","academic",0.52,0.03,1,"school",46.9,51.5,53.7,41.7,40.6
"female","english","middle","no","private","academic",0.91,-0.47,1,"prof1",46.9,64.5,55.8,61.8,60.5
"female","spanish","low","yes","public","academic",0.06,0.03,1,"prof2",46.9,41.1,46.2,39.6,40.6
"female","english","middle","no","public","academic",0.55,-0.24,0.67,"sales",46.9,56.7,54.6,47.1,55.6
"female","english","low","yes","public","academic",0.44,0.65,1,"operative",46.9,46.3,48.5,32.5,40.6
"male","english","high","no","public","academic",0.68,-0.47,0.33,"military",46.9,61.9,60.5,68.8,65.5
"male","english","middle","no","private","academic",0.71,0.03,0.33,"laborer",46.9,59.3,63,52.6,45.6
"female","spanish","middle","yes","public","academic",0.31,1.19,1,"prof1",46.9,44.3,41.9,39,50.6
"male","english","high","no","public","academic",0.49,1.19,1,"prof2",46.9,51.5,50.6,49.8,55.6
"female","english","low","yes","public","academic",-0.49,0.03,0,"operative",46.9,37.2,42.8,41.7,45.6
"female","english","middle","no","private","academic",0,0.34,0.33,"prof1",46.9,59.3,53.7,58,45.6
"female","english","middle","no","public","general",0.27,0.03,0.67,"clerical",46.9,56.7,63.8,55.3,55.6
"male","spanish","low","yes","public","general",-0.42,0.03,0.33,"craftsman",46.9,35.9,41.9,36.3,45.6
"female","english","high","no","public","general",1.36,0.03,0.67,"school",46.9,59.3,56.3,66.1,60.5
"female","english","middle","no","public","general",-0.69,-1.13,0.67,"clerical",46.9,54.1,45.4,44.4,45.6
"female","english","low","yes","public","vocation",-0.6,0.9,0.67,"clerical",46.9,61.9,45.4,33.6,45.6
"female","english","middle","no","public","academic",0.06,0.65,0.33,"proprietor",47.4,64.5,53.9,55.8,50.6
"female","english","middle","no","public","vocation",0.75,0.34,1,"prof1",47.4,41.7,51.6,38.5,50.6
"female","mandarin","low","yes","public","vocation",-0.93,0.65,1,"laborer",47.4,45.6,49.4,42.3,45.6
"male","english","high","no","private","academic",0.68,-0.53,1,"proprietor",48.4,48.2,60.5,60.1,49.3
"male","spanish","middle","yes","public","vocation",0.26,0.03,0.33,"proprietor",48.4,48.9,52.2,43.9,50.6
"female","english","high","no","public","vocation",-0.41,0.03,0.67,"service",49.5,51.5,45.1,58,35.6
"female","english","middle","no","public","vocation",-0.64,-0.51,0.67,"homemaker",49.5,56.7,47.7,44.4,60.5
"male","english","middle","no","private","vocation",0.23,0.15,0.33,"craftsman",49.5,51.5,48,52.6,50.6
"female","spanish","low","yes","public","academic",0.25,0.34,1,"prof1",49.5,61.9,42.9,41.7,50.6
"female","english","low","no","public","academic",0.48,0.32,1,"school",49.5,54.1,38.7,49.8,50.6
"male","english","high","no","private","academic",-0.6,0.34,0,"craftsman",49.5,41.7,50.3,36.3,60.5
"male","english","middle","no","public","general",0.26,0.03,1,"craftsman",49.5,35.9,47.8,52.6,35.6
"male","english","low","no","public","vocation",0.08,0.94,0.33,"craftsman",49.5,52.8,50.6,48.8,66.8
"male","english","middle","no","private","academic",0.06,0.56,1,"prof2",49.5,56.7,46.2,55.3,50.6
"female","english","middle","no","private","academic",-0.66,-1.07,0.67,"clerical",49.5,61.9,60.4,47.1,50.6
"female","english","middle","no","public","vocation",0.1,0.03,0.33,"manager",49.5,56.7,48,47.1,60.5
"male","english","low","no","public","general",0.25,0.65,0,"farmer",49.5,48.9,50.4,63.4,55.6
"male","spanish","middle","yes","public","general",0.46,0.03,0,"proprietor",49.5,46.3,46.2,41.7,35.6
"male","english","high","no","public","academic",0.06,0.32,0.67,"protective",49.5,43.7,55.5,68.8,65.5
"female","english","middle","no","public","academic",0.3,-0.6,1,"prof1",49.5,59.3,53.1,60.7,60.5
"female","english","low","no","public","vocation",0.26,-0.26,0,"manager",49.5,56.7,43.8,47.1,40.6
"female","english","low","no","public","general",0.26,0.87,1,"farmer",49.5,61.9,61.4,63.4,50.6
"male","english","middle","no","public","vocation",0.25,-0.26,0.33,"craftsman",49.5,30.7,40.3,33.6,30.6
"female","english","middle","no","private","vocation",1.13,0.88,0.33,"clerical",49.5,51.5,52.7,55.3,55.6
"female","mandarin","high","yes","public","vocation",-0.35,-0.89,0,"clerical",49.5,67.1,66.4,66.1,55.6
"female","english","low","no","public","vocation",-1.15,-1.38,1,"not working",49.5,56.7,46.1,53.6,40.6
"male","english","middle","yes","public","academic",0.49,0.94,1,"prof1",49.5,39.8,44.5,55.3,55.6
"male","spanish","middle","yes","public","vocation",-1.58,0.56,0.67,"craftsman",49.5,33.3,48.7,44.4,35.6
"female","english","high","no","private","academic",0.68,0.06,0.67,"clerical",49.5,51.5,41.2,41.7,45.6
"male","english","low","no","public","academic",0.7,-0.16,1,"prof2",49.5,61.9,50.9,46.1,66.8
"female","english","middle","no","public","vocation",-0.6,-0.26,0.67,"homemaker",49.5,41.1,38.4,52.6,35.6
"male","english","middle","no","public","academic",0.46,0.65,1,"technical",49.5,48.9,60.5,55.3,55.6
"female","english","middle","no","public","general",-0.16,-0.45,0.67,"homemaker",49.5,54.1,61.9,52.6,50.6
"female","mandarin","high","yes","public","vocation",0.06,-0.29,0.67,"clerical",49.5,56.7,68.1,49.8,55.6
"male","english","high","no","private","academic",0.1,-0.16,0.33,"prof1",49.5,59.3,51,47.1,45.6
"male","english","middle","no","private","academic",-0.14,0.34,0.33,"prof1",49.5,46.3,44.8,58,60.5
"female","english","middle","no","public","general",0.23,0.44,1,"craftsman",49.5,51.5,45.5,49.8,55.6
"female","english","high","no","public","general",0.25,0.03,0.67,"homemaker",49.5,51.5,55.5,44.4,55.6
"male","english","high","yes","public","vocation",0.69,0.03,0.67,"prof1",49.5,39.8,38.6,49.3,46.8
"male","english","middle","yes","public","general",-0.44,-0.31,0.67,"prof1",49.5,59.3,42.1,52.6,60.5
"female","english","middle","no","public","academic",0,-0.42,0.67,"proprietor",49.5,51.5,52.9,39,55.6
"female","english","high","no","public","academic",0.46,0.32,0.67,"technical",49.5,54.1,47.8,60.7,50.6
"female","english","middle","no","public","vocation",0.46,-0.47,0,"prof1",49.5,61.9,41.4,55.3,30.6
"female","english","middle","yes","public","academic",0.27,0.34,1,"military",49.5,48.9,48,41.7,60.5
"female","english","low","yes","public","academic",0.45,0.03,1,"clerical",49.5,46.3,52.9,52.6,65.5
"male","english","middle","no","public","academic",0.22,0.32,1,"school",49.5,56.7,62.8,49.8,70.5
"female","english","high","no","public","vocation",0.29,0.03,1,"homemaker",49.5,48.9,56.2,47.1,45.6
"female","english","high","yes","private","academic",-0.4,-1.8,0.33,"clerical",50,45,42.9,41.7,45.6
"female","english","middle","no","public","academic",0.46,-0.47,0.67,"prof2",50,41.1,45.1,44.4,55.6
"female","mandarin","middle","yes","public","academic",0.3,-1.09,0,"prof1",51.1,56.7,55.3,47.7,56.8
"female","english","low","no","public","general",0.06,0.59,1,"clerical",52.1,51.5,45.4,39,50.6
"female","english","high","no","public","general",0.23,-0.26,0,"prof1",52.1,61.9,56.3,58,55.6
"female","english","middle","no","public","academic",0.23,0.03,1,"prof1",52.1,59.3,52.9,60.7,50.6
"male","spanish","high","yes","public","academic",-0.03,0.63,0.67,"prof1",52.1,54.1,48.2,55.3,60.5
"female","english","middle","no","public","academic",0.66,0.03,1,"clerical",52.1,56.7,41.9,52.6,60.5
"male","english","high","no","private","academic",0,0.03,0.33,"prof2",52.1,59.3,50.4,60.7,60.5
"male","english","middle","no","public","academic",0.71,0.34,0.67,"prof1",52.1,41.1,51.3,60.7,65.5
"male","english","middle","no","public","academic",0.28,0.32,1,"prof2",52.1,54.1,56.5,55.3,50.6
"male","english","high","no","private","academic",0.46,0.34,1,"technical",52.1,46.3,50.4,52.6,50.6
"male","english","middle","no","private","general",-0.4,0.65,0,"prof2",52.1,46.3,51.3,58,55.6
"male","english","middle","no","public","academic",0.44,0.65,1,"farmer",52.1,54.1,54.6,41.7,55.6
"female","english","middle","yes","private","academic",0.66,0,1,"prof2",52.1,48.9,48.5,44.4,60.5
"male","english","middle","no","public","vocation",-0.41,0.34,0.67,"technical",52.1,38.5,57.9,52.6,50.6
"male","mandarin","high","yes","public","academic",0.91,0.34,1,"prof2",52.1,54.1,58.1,55.8,50.6
"female","spanish","middle","yes","public","academic",0.69,0.34,1,"prof1",52.1,56.7,53.4,60.7,45.6
"male","mandarin","middle","yes","public","academic",0.06,0.94,1,"military",52.1,51.5,57.9,60.7,35.6
"male","english","middle","no","public","vocation",-0.4,-0.76,0.67,"military",52.1,35.9,50.3,47.1,50.6
"female","mandarin","high","yes","public","academic",0.32,-1.17,0.33,"prof1",52.1,54.1,58.1,47.1,60.5
"female","spanish","high","yes","public","general",0.46,0.59,1,"technical",52.1,62.5,53.6,56.3,65.5
"female","english","middle","no","public","academic",-0.16,-2.58,1,"prof2",52.1,59.3,58.1,52.6,65.5
"female","english","middle","no","public","academic",0.1,1.19,1,"prof1",52.1,56.7,62.3,66.1,70.5
"male","english","high","no","public","academic",-0.45,-0.6,0.67,"prof2",52.1,59.9,49.5,48.8,60.5
"male","english","middle","no","public","academic",1.36,-0.8,0.67,"sales",52.1,59.3,59.6,59.1,40.6
"male","english","middle","no","public","vocation",-1.57,0.65,0.33,"manager",52.1,56.7,45.2,55.3,50.6
"male","english","middle","no","public","general",0.09,-1.42,0.33,"proprietor",52.1,61.9,59.6,58,55.6
"female","english","middle","no","public","academic",0.67,0.03,0.67,"prof1",52.1,56.7,51.1,55.3,55.6
"male","english","low","no","public","academic",0.46,-0.18,1,"prof2",52.1,46.3,48.3,58,60.5
"male","english","high","no","public","academic",0.01,0.32,0,"technical",52.1,41.1,50.6,52.6,55.6
"female","english","high","no","public","general",0.33,-0.26,1,"homemaker",52.1,67.1,57,63.4,60.5
"male","english","high","no","public","academic",-0.43,0.03,1,"prof1",52.1,44.3,53.1,58,45.6
"female","english","low","no","public","academic",-0.47,-0.47,0,"clerical",52.1,57.3,63.7,58,55.6
"female","english","low","no","public","general",0.68,-0.6,0.33,"school",52.1,64.5,59.7,55.8,50.6
"female","english","high","no","public","academic",0.48,-0.47,0.33,"prof1",52.1,61.9,55.5,60.7,60.5
"male","mandarin","middle","yes","public","academic",0.52,0.34,1,"prof1",52.1,54.1,51.4,49.8,50.6
"female","english","middle","no","public","academic",0.32,0.9,0.67,"clerical",52.1,59.3,58.1,47.1,45.6
"male","english","middle","no","private","academic",0,0.65,1,"military",52.1,61.9,62.1,58,60.5
"female","english","high","no","public","academic",1.36,0.94,1,"homemaker",52.1,48.9,51.3,41.7,45.6
"male","mandarin","middle","yes","public","academic",0.06,0.44,0.67,"prof1",52.1,61.9,66.3,47.1,45.6
"male","english","middle","no","public","general",0.33,0.28,0.67,"prof1",52.1,46.3,48.1,55.3,40.6
"male","mandarin","low","yes","public","general",-0.38,0.03,0,"craftsman",52.1,43.7,49.4,55.3,40.6
"female","english","high","no","public","academic",0.89,0.88,1,"prof1",52.1,59.3,64,61.2,55.6
"female","english","middle","no","public","general",0.45,0.56,1,"laborer",52.1,43.7,41.9,47.1,45.6
"male","english","high","no","public","academic",-0.27,0.88,1,"sales",52.1,64.5,60.6,60.7,45.6
"female","english","middle","no","public","academic",-0.4,-0.22,0.67,"prof1",52.1,38.5,36.1,44.4,45.6
"male","english","middle","no","private","general",-0.93,-0.8,0.33,"prof1",52.1,51.5,49.5,55.3,45.6
"male","spanish","middle","yes","public","academic",0.03,0.28,0.33,"operative",52.1,54.1,52,55.3,50.6
"male","english","middle","yes","public","academic",0.26,1.19,1,"prof1",52.1,52.8,37.6,52.6,50.6
"female","english","middle","no","public","academic",0.08,-0.24,0.33,"prof2",52.1,59.3,48,55.3,60.5
"female","english","middle","no","public","vocation",0.22,0.03,0.33,"clerical",52.1,54.7,49.5,53.6,60.5
"female","english","middle","no","public","general",-0.4,-0.26,0.33,"service",52.1,54.1,55.3,52.6,50.6
"female","english","middle","yes","public","general",0.46,0.03,1,"school",52.1,56.7,62.8,47.1,60.5
"female","english","low","no","public","general",0.46,0.03,0.67,"technical",52.1,56.7,53,47.1,50.6
"male","english","middle","no","private","vocation",-0.66,-0.47,1,"prof1",52.7,41.1,40.2,58,60.5
"female","english","middle","no","public","general",0.71,-0.05,0.67,"clerical",52.7,47.6,52.2,45,50.6
"male","mandarin","middle","yes","public","academic",0.46,-0.3,1,"prof2",53.2,60.6,61.2,56.9,55.6
"male","english","high","yes","public","academic",-0.03,0.87,1,"military",53.2,46.3,43,41.7,50.6
"male","english","middle","yes","public","academic",0.49,0.44,0.67,"prof2",53.7,43.7,51.1,52,43.1
"male","english","high","no","public","academic",0.52,0.65,0.33,"craftsman",54.3,62.5,56.6,54.7,45.6
"female","english","middle","no","public","general",0.32,0.65,1,"prof1",54.8,61.9,58.1,58,60.5
"male","english","middle","no","public","vocation",-0.4,0.88,0.33,"farmer",54.8,45,45.9,58,50.6
"female","english","middle","no","private","academic",0.5,-0.22,1,"prof1",54.8,61.9,61.3,60.7,50.6
"female","english","middle","no","public","academic",0.67,-0.59,0.67,"prof1",54.8,64.5,55.3,49.8,60.5
"male","english","high","no","public","academic",0.2,-2.54,0,"technical",54.8,61.9,63.6,63.4,65.5
"male","english","middle","no","public","vocation",-1.3,0.03,1,"military",54.8,41.1,40.2,44.4,40.6
"female","english","high","yes","public","vocation",0.26,0.94,0,"not working",54.8,38.5,46.8,36.3,45.6
"male","spanish","high","yes","public","vocation",0.46,0.03,0.67,"prof1",54.8,54.7,56.9,58,40.6
"female","english","middle","no","public","general",0.55,-0.6,1,"clerical",54.8,54.1,51.3,41.7,45.6
"female","english","low","no","public","general",-0.19,-0.85,0,"service",54.8,60.6,55.5,58,45.6
"male","english","low","no","public","general",0.71,1.19,0.33,"farmer",54.8,59.3,62.5,68.8,45.6
"male","english","low","no","public","general",0.3,-0.59,1,"technical",54.8,46.3,45.5,58,60.5
"male","english","middle","no","public","vocation",0.28,0.03,1,"prof1",54.8,59.3,49.5,63.4,56.8
"female","mandarin","middle","yes","private","general",-0.4,-0.47,1,"prof2",54.8,59.3,51.8,41.7,55.6
"female","english","high","no","public","academic",0.66,0.34,0.67,"prof1",54.8,56.7,61.9,63.4,55.6
"male","english","high","yes","public","vocation",-0.42,-0.6,1,"school",54.8,56.7,64.7,58,60.5
"male","english","high","no","public","academic",0.71,0.03,1,"prof2",54.8,61.2,53.7,48.8,60.5
"female","english","low","no","public","general",-0.84,-0.24,1,"homemaker",54.8,64.5,44.5,52.6,50.6
"female","english","middle","no","public","general",0.06,0.03,1,"prof1",54.8,59.3,46.2,47.1,65.5
"female","english","middle","yes","private","academic",0.48,0.63,1,"prof2",54.8,48.2,58.7,51.5,45.6
"male","english","high","no","public","academic",0.31,0.03,1,"prof2",54.8,48.9,61.2,60.7,55.6
"female","english","middle","no","public","academic",0.66,-0.47,0.67,"prof1",54.8,59.3,50.6,60.7,50.6
"female","english","middle","no","public","academic",0.53,0.81,0.67,"prof1",54.8,59.3,61.4,47.1,55.6
"female","english","high","no","public","general",0.91,0.65,0.33,"proprietor",54.8,48.9,41.9,52.6,55.6
"male","english","high","no","public","academic",0.49,0.94,1,"technical",54.8,56.7,63.8,60.7,65.5
"female","english","high","no","public","academic",0.06,0.03,0.67,"prof2",54.8,54.1,47.1,49.8,50.6
"female","english","middle","no","public","academic",-0.44,-1.13,1,"prof1",54.8,61.9,69.6,60.7,55.6
"male","english","middle","no","public","general",0,0.65,1,"manager",54.8,64.5,51.1,49.8,55.6
"female","mandarin","high","yes","public","academic",0.28,0.94,1,"prof2",54.8,56,43.5,49.8,50.6
"female","english","middle","no","public","general",-0.14,0.56,1,"homemaker",54.8,61.9,54.6,47.1,45.6
"male","english","middle","no","private","academic",0.71,1.19,0.67,"craftsman",54.8,48.9,52.4,58,60.5
"male","english","middle","yes","public","academic",-0.37,-1.9,0.67,"manager",54.8,36.5,37.7,49.8,60.5
"female","english","middle","no","public","academic",-0.4,0.03,0,"clerical",54.8,49.5,55.3,47.1,51.8
"male","english","middle","no","public","general",0.06,0.03,1,"craftsman",54.8,41.1,42.8,47.1,40.6
"male","english","low","no","public","academic",0.68,0.87,1,"prof2",54.8,56.7,56.9,58,70.5
"male","english","high","no","public","vocation",0.43,-0.05,0.67,"protective",54.8,45.6,51.8,60.7,45.6
"female","english","middle","no","public","academic",0.51,0.03,1,"school",54.8,54.1,66.4,41.7,55.6
"male","english","high","no","private","academic",0.1,0.56,0.67,"prof1",54.8,61.9,60.4,55.3,65.5
"male","english","middle","no","public","vocation",-0.19,0.03,0.33,"craftsman",54.8,51.5,42.8,60.7,50.6
"female","english","middle","no","public","general",0.08,0.03,1,"sales",54.8,67.1,47.4,49.8,65.5
"male","english","middle","no","public","general",-0.14,-0.24,0.67,"prof1",54.8,38.5,57,52.6,45.6
"female","english","middle","no","public","academic",-0.6,-1.18,0.67,"clerical",54.8,59.3,68,49.3,65.5
"female","english","high","no","public","general",-0.44,-0.47,1,"prof1",54.8,65.1,66.1,49.8,60.5
"male","english","middle","no","public","academic",0.46,0.03,0.67,"operative",54.8,64.5,58.6,55.3,60.5
"female","english","high","no","public","academic",0.91,0.15,0,"prof1",54.8,56.7,55.5,58,60.5
"male","english","middle","no","private","academic",0.55,0.63,1,"technical",54.8,59.3,62.3,58,50.6
"female","english","middle","no","public","academic",0,-0.82,0.67,"prof2",54.8,67.1,63.8,49.8,50.6
"male","english","low","yes","public","academic",1.16,1.19,0.33,"prof1",55.3,46.9,49.1,54.2,51.8
"female","english","middle","no","public","general",1.11,0.9,0.33,"homemaker",55.3,50.2,41.7,58.5,55.6
"female","english","middle","no","public","academic",0.44,0.03,1,"prof1",55.3,51.5,48,58,65.5
"female","english","high","no","private","academic",1.14,0.63,1,"service",55.3,53.4,44.5,53.6,48.1
"female","english","low","yes","public","academic",0.28,1.19,1,"clerical",56.4,59.3,38.5,55.3,56.8
"male","english","low","no","private","academic",0.2,-0.47,0.67,"craftsman",56.4,49.5,51.9,47.1,48.1
"female","english","middle","no","public","academic",0.66,0.34,1,"homemaker",56.9,49.5,49.5,50.9,58.1
