"gender","lang","ses","minor","sch","prog","locus","concept","mot","career","read","write","math","sci","ss"
"female","mandarin","low","yes","public","academic",1.16,-0.72,0.67,"prof2",56.9,64.5,72.2,54.2,55.6
"female","english","middle","no","public","academic",-0.16,0.03,1,"operative",57.4,57.3,64,58,65.5
"female","english","middle","no","public","general",0.71,-0.29,0.67,"prof1",57.4,61.9,55.5,58,65.5
"male","english","high","no","private","academic",0.32,-0.88,0.33,"prof1",57.4,54.1,42.2,44.4,55.6
"female","english","high","no","public","academic",0.91,-0.47,0.67,"prof2",57.4,59.3,57.2,59.1,65.5
"female","english","high","no","public","academic",1.36,0.94,1,"prof2",57.4,64.5,49.9,55.3,55.6
"female","english","middle","no","public","vocation",-0.22,-2.27,0,"clerical",57.4,51.5,40.3,60.7,55.6
"female","english","middle","no","private","academic",-0.4,-1.34,1,"operative",57.4,61.9,55.5,49.8,55.6
"female","spanish","high","yes","private","academic",0.45,0.65,1,"prof1",57.4,56.7,46.9,52.6,55.6
"female","english","high","no","private","academic",0.91,0.03,1,"prof1",57.4,59.3,55.5,55.3,50.6
"male","english","middle","no","public","general",0.26,0.03,1,"craftsman",57.4,51.5,55.3,60.7,60.5
"male","spanish","middle","yes","public","academic",0.06,0.03,1,"manager",57.4,54.1,58.9,47.1,50.6
"female","english","middle","no","private","general",0.27,0.03,0.67,"homemaker",57.4,41.1,57,55.3,51.8
"female","english","middle","no","public","academic",0.46,-0.28,1,"prof1",57.4,56.7,56.4,63.4,60.5
"female","english","middle","no","public","vocation",0.46,0.03,1,"clerical",57.4,67.1,47.7,55.8,50.6
"male","english","middle","no","public","academic",0.06,-0.29,0.67,"farmer",57.4,64.5,51.1,63.4,60.5
"female","english","middle","no","private","academic",0.87,0.87,0.67,"prof2",57.4,61.9,62.8,55.3,40.6
"male","english","high","no","public","academic",0.68,0.34,1,"technical",57.4,56.7,62.8,58,50.6
"female","english","low","no","public","vocation",-1.09,-0.9,0.67,"prof1",57.4,59.9,50.5,52.6,36.9
"female","english","high","no","private","academic",0.91,-1.67,0.33,"prof1",57.4,54.1,54.8,60.7,60.5
"male","english","middle","yes","public","academic",1.13,0.87,1,"prof2",57.4,54.7,51.7,49.8,50.6
"male","mandarin","middle","yes","public","general",-1.28,-1.05,0.33,"prof1",57.4,43.7,57.8,60.7,45.6
"male","english","high","no","private","academic",0.22,1.19,1,"proprietor",57.4,54.1,48.8,55.3,40.6
"female","english","high","no","public","academic",0.96,0.87,1,"prof1",57.4,64.5,48,47.1,50.6
"female","english","middle","no","private","academic",0.23,0.94,1,"prof2",57.4,67.1,57.9,60.7,55.6
"male","english","middle","no","private","general",-1.33,0.03,0.67,"technical",57.4,56.7,59.8,58,55.6
"male","english","low","no","public","general",0.05,-0.6,0,"operative",57.4,51.5,40.6,46.6,56.8
"male","english","low","no","public","academic",-0.82,-0.76,0,"clerical",57.4,43.7,59.6,52.6,50.6
"male","english","middle","no","private","academic",0.32,1.19,1,"prof1",57.4,61.9,64,55.8,55.6
"female","mandarin","high","yes","public","academic",0.23,-0.6,1,"prof2",57.4,67.1,68,59.1,65.5
"female","english","middle","no","public","academic",0.08,0.59,1,"prof1",57.4,56.7,53.9,60.7,60.5
"female","english","middle","no","public","academic",0.46,0.03,0.67,"prof1",57.4,59.3,53.9,49.8,55.6
"female","spanish","high","yes","private","academic",0.46,0.34,1,"prof1",57.4,54.1,59.6,60.7,70.5
"female","english","low","no","public","academic",0.89,0.34,0.33,"prof2",57.4,61.9,72.2,60.7,60.5
"female","english","middle","no","public","academic",-0.44,-0.78,1,"prof2",58,48.9,43.8,44.4,65.5
"female","english","low","no","public","academic",1.16,0.63,0.67,"sales",58.5,54.1,46.3,48.2,53.1
"female","english","middle","yes","public","academic",1.36,0.65,0.67,"prof2",59,56.7,52.9,48.8,56.8
"female","english","middle","no","public","academic",0.94,-0.3,1,"prof2",60.1,67.1,52.4,55.3,50.6
"male","english","high","no","public","vocation",-0.51,-1.98,0,"not working",60.1,57.3,58.8,58,50.6
"male","english","high","no","public","vocation",1.13,0.56,1,"manager",60.1,48.9,50.4,55.3,65.5
"male","english","low","no","public","vocation",0.22,0.03,0.67,"technical",60.1,41.7,52,52.6,50.6
"male","english","middle","no","public","academic",0.69,0.05,0.67,"prof2",60.1,59.3,57.9,40.6,65.5
"female","spanish","low","yes","private","general",0.06,0.32,0,"service",60.1,54.1,49.9,49.8,50.6
"male","english","middle","no","public","vocation",0.48,0.03,1,"prof2",60.1,46.3,51.4,52.6,60.5
"female","english","high","no","private","academic",0.02,-0.14,0,"prof1",60.1,64.5,67,58.5,66.8
"male","english","high","no","public","academic",0.27,0.03,1,"prof2",60.1,51.5,48.1,52.6,55.6
"female","english","high","no","public","academic",0.45,0.03,0.67,"prof1",60.1,61.9,51.9,53.1,58.1
"female","english","high","no","public","academic",0.75,1.19,1,"prof1",60.1,61.9,67.1,49.8,55.6
"female","english","high","no","private","academic",-0.19,1.19,1,"prof1",60.1,61.9,54.6,60.7,65.5
"male","english","middle","no","public","academic",-0.44,1.19,1,"craftsman",60.1,54.1,59.6,55.3,65.5
"female","mandarin","high","yes","public","academic",0.11,-1.42,1,"technical",60.1,59.3,62.1,60.7,50.6
"male","english","low","no","public","academic",0.65,-0.3,1,"prof2",60.1,61.9,74.6,58,60.5
"female","english","middle","no","public","general",0.51,0.03,0.33,"manager",60.1,51.5,53.9,63.4,50.6
"female","english","high","no","public","academic",0.71,0.28,1,"proprietor",60.1,64.5,63,68.8,60.5
"male","english","high","no","private","academic",0.27,-1.05,0.33,"prof1",60.1,54.1,56.3,55.3,55.6
"female","english","high","no","private","academic",0.26,0.94,1,"prof2",60.1,59.3,51.8,53.1,55.6
"female","english","middle","no","private","academic",1.16,1.19,1,"technical",60.1,59.3,55.3,58,45.6
"male","english","middle","no","public","academic",0.2,0.56,0.67,"protective",60.1,52.8,51.5,58,50.6
"female","english","middle","no","public","academic",0.2,-0.55,0.67,"prof1",60.1,61.9,48.7,49.8,50.6
"male","english","high","no","public","academic",-0.38,0.03,1,"prof1",60.1,54.1,58,58,60.5
"female","english","middle","no","public","vocation",0.06,0.28,1,"sales",60.1,59.3,56.2,60.7,60.5
"male","english","high","no","public","general",0.66,0.34,1,"military",60.1,51.5,53,63.4,55.6
"male","spanish","high","yes","public","academic",1.16,0.32,1,"prof1",60.1,54.1,48.6,58,30.6
"female","english","middle","no","public","academic",0.02,-1.05,0.33,"prof1",60.1,64.5,61.2,60.7,50.6
"female","english","middle","no","public","academic",0.71,-0.55,1,"prof1",60.1,59.3,64.3,60.7,65.5
"male","english","high","no","public","general",1.13,0.63,0.67,"prof2",60.1,64.5,57.9,60.7,65.5
"female","spanish","high","yes","public","academic",0.26,0.03,1,"prof2",60.1,64.5,55.7,63.4,60.5
"female","english","middle","no","public","academic",0.46,0.03,1,"prof2",60.1,64.5,56.3,63.4,60.5
"male","spanish","high","yes","public","academic",-0.68,-0.26,0,"craftsman",60.1,51.5,56.8,60.7,60.5
"female","english","low","no","public","vocation",-0.89,-1.29,0.33,"prof1",60.1,64.5,41,52.6,50.6
"female","english","middle","yes","public","academic",0.91,-0.28,1,"military",60.1,67.1,56.2,37.4,50.6
"female","english","low","no","public","academic",0.91,0.03,1,"clerical",60.6,59.3,49.4,44.4,65.5
"male","english","middle","no","public","academic",0.89,0.59,0.67,"manager",60.6,56.7,70.5,58,65.5
"female","english","middle","no","public","academic",0.22,-0.57,1,"clerical",61.1,67.1,64.5,50.4,55.6
"female","english","middle","no","public","academic",0,0.03,0.67,"clerical",61.1,61.2,62.2,57.4,53.1
"male","english","middle","no","public","general",0.46,0.34,0.67,"prof1",62.2,56.7,51.9,54.7,58.1
"male","english","middle","no","private","academic",0.55,0.34,1,"technical",62.7,61.9,72.9,63.4,55.6
"female","english","low","yes","public","academic",-0.24,-0.16,0.33,"technical",62.7,61.9,52.4,47.1,60.5
"male","mandarin","high","yes","private","academic",-1.05,0.28,0.67,"prof1",62.7,64.5,66.3,58,60.5
"female","english","low","no","public","academic",0,0.34,1,"service",62.7,59.9,65.4,53.6,65.5
"male","english","middle","no","public","vocation",0.26,0.03,1,"operative",62.7,59.3,53.2,63.4,55.6
"male","mandarin","middle","yes","public","academic",1.36,0.59,1,"prof2",62.7,67.1,69.6,68.8,55.6
"female","english","middle","no","public","academic",0.93,0.65,1,"manager",62.7,59.3,71.3,68.8,60.5
"female","english","middle","no","public","general",-0.38,-0.47,0.67,"homemaker",62.7,43.7,44.7,52.6,41.9
"male","english","middle","no","public","general",-0.17,-0.84,0.67,"service",62.7,56.7,54.3,58,50.6
"female","english","high","no","public","academic",0.28,0.03,0.67,"prof1",62.7,67.1,65.6,61.8,65.5
"female","english","low","no","public","academic",-0.18,-1.09,0.67,"service",62.7,56.7,58.8,71.5,60.5
"female","english","middle","no","public","vocation",0,-0.18,0,"prof1",62.7,59.3,55.5,45.5,46.8
"male","english","middle","no","public","academic",1.36,0.63,1,"prof2",62.7,61.9,68.6,68.8,55.6
"male","english","low","no","public","academic",0.48,0.69,0.67,"technical",62.7,43,58.9,65,44.3
"male","spanish","low","yes","public","academic",0.44,-0.47,0.33,"prof2",62.7,64.5,48,63.4,55.6
"female","english","middle","no","private","academic",1.36,-1.18,1,"prof1",62.7,61.9,63.1,60.7,60.5
"male","english","middle","no","private","academic",0.47,0.03,0.67,"sales",62.7,59.3,48.8,55.3,70.5
"female","english","low","no","public","vocation",0.06,-0.6,0.67,"prof1",62.7,56,57.3,60.7,56.8
"male","english","middle","no","private","academic",0.02,0.03,0.33,"prof1",62.7,54.1,64.7,58,50.6
"male","english","high","no","public","academic",0.32,0.28,0.67,"technical",62.7,63.2,68.9,74.2,70.5
"male","english","low","no","public","general",0.44,-0.16,0.67,"prof1",62.7,48.9,48.8,66.1,45.6
"male","english","middle","no","private","academic",0.71,0.28,0.67,"technical",62.7,56.7,54.7,58,40.6
"female","english","middle","no","public","academic",0.71,0.34,0,"craftsman",62.7,64.5,57.4,60.7,70.5
"male","english","middle","no","public","academic",0.68,-0.26,1,"prof2",62.7,61.9,56.2,47.1,45.6
"female","english","middle","no","public","academic",-1.56,0.03,0.33,"service",62.7,54.1,53,55.3,45.6
"male","english","high","no","public","vocation",-0.4,-1.09,0.67,"military",62.7,43.7,47.1,52.6,55.6
"male","english","middle","no","public","vocation",0.1,0.03,0,"farmer",62.7,48.9,42.1,66.1,70.5
"female","english","high","no","private","academic",0.73,0.03,1,"prof1",62.7,62.5,68.9,60.7,60.5
"female","english","high","no","public","academic",1.13,0.03,0.67,"prof1",62.7,64.5,64.5,52.6,60.5
"female","english","high","no","public","academic",0.06,0.32,1,"clerical",62.7,64.5,70.5,68.8,70.5
"female","english","high","no","private","academic",0.48,-0.82,0.33,"prof1",62.7,64.5,58.2,61.8,61.8
"male","english","middle","no","public","vocation",-0.16,-0.53,0.67,"laborer",62.7,61.9,67,66.1,45.6
"female","english","high","no","private","academic",0.23,0.03,1,"clerical",62.7,61.9,55.5,55.3,60.5
"male","english","middle","no","public","academic",0.46,0.03,0.67,"prof1",62.7,54.1,54.8,55.3,65.5
"male","english","high","yes","public","academic",0.68,0.94,1,"prof1",62.7,52.1,66.1,68.8,50.6
"female","english","low","no","public","general",0,-1.09,0.67,"prof1",62.7,51.5,45.9,47.1,45.6
"male","english","middle","no","public","vocation",0.05,-0.88,0.67,"craftsman",62.7,63.2,74.6,71.5,65.5
"male","english","high","no","public","academic",-0.33,0.38,0.67,"manager",62.7,59.3,56.5,55.3,55.6
"male","english","middle","no","public","general",-1.58,-0.26,0.33,"military",62.7,48.9,35.3,66.1,40.6
"female","english","middle","no","public","general",0.46,0.34,0.67,"prof1",62.7,61.9,52.9,44.4,40.6
"female","english","middle","no","public","academic",0,0.03,0.67,"prof1",62.7,64.5,38.3,55.8,55.6
"female","english","middle","no","public","vocation",0.06,0.03,0.67,"service",62.7,61.9,58.8,60.7,60.5
"male","english","high","no","public","academic",0.06,0.03,1,"prof1",62.7,64.5,71.3,55.3,70.5
"female","english","high","no","public","academic",0.45,0.03,1,"homemaker",62.7,51.5,54.4,49.8,50.6
"female","english","high","no","public","academic",1.11,0.9,0.33,"manager",62.7,64.5,61.4,58,60.5
"female","mandarin","middle","yes","public","academic",0.55,0.9,1,"prof1",62.7,61.9,59.6,60.7,65.5
"female","english","middle","no","private","vocation",0.43,-1.09,0.67,"school",63.3,64.5,52.1,58,65.5
"male","english","high","no","private","academic",0.06,1.19,1,"proprietor",65.4,64.5,67.9,63.4,55.6
"female","english","high","no","public","academic",0.52,0.34,1,"prof2",65.4,54.1,61.4,58,55.6
"male","english","high","no","private","academic",0.03,0.56,0.67,"craftsman",65.4,67.1,63,66.1,70.5
"male","english","middle","no","public","general",0.68,0.03,1,"prof2",65.4,64.5,51.3,66.1,65.5
"male","spanish","middle","yes","private","academic",0.26,0.88,1,"prof1",65.4,59.3,62.3,60.7,65.5
"male","english","middle","no","public","academic",0.04,0.03,0.67,"prof1",65.4,51.5,61.2,68.8,60.5
"female","english","middle","no","public","general",0.46,0.03,1,"prof2",65.4,51.5,61.4,60.7,50.6
"male","english","high","no","public","academic",-0.93,-0.22,0.67,"prof2",65.4,64.5,65.5,60.7,65.5
"female","english","high","no","public","general",0.46,-1.11,0.33,"prof1",65.4,67.1,67,66.1,70.5
"male","english","middle","no","public","academic",0.91,0.59,1,"prof2",65.4,67.1,67.1,66.1,61.8
"male","english","middle","no","public","academic",0.73,0.03,1,"technical",65.4,59.3,69.6,63.4,50.6
"female","english","middle","no","public","academic",1.16,0.65,1,"clerical",65.4,67.1,63.1,55.3,70.5
"male","english","middle","no","public","academic",0.66,0.03,0.33,"manager",65.4,59.3,67.1,66.1,65.5
"male","english","high","no","private","academic",1.11,0.34,1,"prof2",65.4,64.5,64.1,66.1,70.5
"female","mandarin","high","yes","public","academic",0.02,0.03,0.67,"prof2",65.4,56.7,62.3,58.5,55.6
"male","english","high","no","public","general",1.16,-0.81,0.67,"prof1",65.4,64.5,48,63.4,65.5
"female","english","high","no","public","academic",0.48,0.03,1,"homemaker",65.4,61.9,60.4,63.4,60.5
"male","mandarin","high","yes","public","academic",-0.17,0.31,1,"prof2",65.4,67.1,75.5,71.5,70.5
"female","english","middle","no","public","general",0.23,0.03,1,"sales",65.4,56.7,65.4,58,70.5
"female","english","middle","no","public","academic",0.23,-0.76,1,"prof1",65.4,64.5,59.6,66.1,60.5
"female","english","middle","no","public","general",0.07,0.34,1,"prof1",65.4,59.3,51.2,60.7,55.6
"male","english","high","no","public","academic",1.36,1.19,1,"prof1",65.4,48.9,66.3,58,35.6
"male","english","middle","no","private","academic",0.96,0.63,1,"protective",65.4,64.5,70.3,66.1,65.5
"female","english","high","no","public","academic",0.06,0.65,0,"prof1",65.4,59.3,56.8,46.1,65.5
"female","mandarin","low","yes","public","academic",-0.71,-2.29,0.33,"prof1",65.4,64.5,63.7,58,70.5
"female","english","high","no","public","academic",0.68,0.03,1,"sales",65.4,67.1,64.5,60.7,70.5
"male","english","middle","no","public","general",-0.49,0.03,0.33,"prof1",65.4,59.3,56.8,66.1,60.5
"female","english","high","no","private","academic",-0.47,0.28,1,"prof2",65.4,61.9,47.1,60.7,60.5
"male","mandarin","low","yes","public","vocation",-0.45,-0.64,0.33,"prof1",65.4,56.7,55.2,52.6,55.6
"male","english","high","no","public","academic",0.46,0.94,1,"prof2",65.4,61.9,67.9,66.1,65.5
"female","english","middle","no","public","vocation",0.06,-0.28,1,"clerical",65.9,64.5,54.6,60.7,60.5
"female","english","high","yes","public","academic",1.14,1.19,1,"prof1",65.9,67.1,67.1,60.7,65.5
"female","english","middle","no","public","general",0.93,0.03,1,"prof2",65.9,67.1,70.5,52.6,65.5
"female","english","high","no","public","academic",0.46,1.19,0.67,"prof2",65.9,64.5,61.8,60.7,60.5
"female","english","low","no","public","vocation",0.06,0.28,1,"farmer",65.9,63.2,50.3,60.1,55.6
"female","english","middle","no","public","vocation",0.91,0.34,1,"clerical",68,59.3,53,63.4,60.5
"male","english","high","no","public","general",0.7,-0.16,0.33,"prof1",68,59.3,55.7,63.4,65.5
"male","english","high","no","public","academic",0.46,0.65,1,"prof1",68,54.1,63,63.4,60.5
"male","english","middle","no","public","academic",-0.16,0.65,1,"military",68,61.9,69.7,71.5,60.5
"female","english","middle","no","public","vocation",0.06,0.03,1,"clerical",68,61.9,55.5,49.8,50.6
"male","english","middle","yes","public","academic",0.89,0.15,0.67,"prof2",68,59.3,56.6,50.4,60.5
"female","english","high","no","public","academic",0.94,0.03,1,"prof2",68,56.7,59.6,58,25.7
"female","english","middle","no","public","general",0.89,0.65,0.67,"prof1",68,48.9,56.3,63.4,55.6
"male","english","high","no","public","academic",0.75,1.19,1,"prof2",68,61.9,52.2,60.7,65.5
"female","english","low","no","public","academic",0,0.65,1,"technical",68,64.5,58.3,58.5,55.6
"female","english","low","no","public","vocation",1.36,0.63,1,"clerical",68,64.5,58.9,63.4,45.6
"female","english","high","no","public","academic",0.71,0.34,0.67,"prof1",68,61.9,64.5,68.8,60.5
"female","english","middle","no","public","academic",0.46,-0.86,1,"school",68,59.3,60.5,55.3,70.5
"female","english","high","no","public","academic",0.71,0.03,1,"school",68,61.9,72.2,66.1,56.8
"male","english","middle","no","public","academic",0.46,-0.47,0.67,"prof2",68,64.5,70.6,68.8,59.3
"female","english","high","no","public","academic",0.52,0.59,1,"prof1",68,59.9,64,68.8,65.5
"female","english","high","no","public","academic",0.5,0.03,0.67,"not working",68,59.3,58.8,66.1,65.5
"female","mandarin","middle","yes","public","academic",0.46,-1.17,0,"prof1",68,62.5,65.4,60.7,60.5
"male","english","high","no","public","academic",0.47,0.01,1,"prof2",68,64.5,61.5,55.3,60.5
"male","english","middle","no","public","general",0.46,0.65,1,"technical",68,59.3,57.9,74.2,65.5
"male","english","middle","no","private","academic",0.06,0.03,0.33,"prof1",68,59.3,71.3,66.1,55.6
"male","english","middle","no","private","academic",-0.61,0.34,0.67,"technical",68,54.1,74.6,66.1,65.5
"male","english","high","no","public","academic",0.42,0.56,0.67,"not working",70.7,56,62,67.7,63
"male","spanish","middle","yes","public","academic",1.36,0.44,0.67,"prof1",70.7,58,65.4,63.4,60.5
"female","english","low","no","public","academic",-0.14,-1.05,1,"prof1",70.7,65.1,66.4,63.4,60.5
"male","english","low","no","public","academic",0.24,-0.43,0.33,"technical",70.7,43.7,58.8,66.1,60.5
"female","english","middle","no","public","academic",1.16,1.19,1,"prof2",70.7,64.5,72.2,66.1,55.6
"female","english","high","no","private","academic",0.46,-0.22,1,"prof2",70.7,64.5,68.7,58,70.5
"male","english","middle","no","public","academic",0.46,0.03,1,"military",70.7,56.7,51.3,71.5,55.6
"female","english","middle","yes","public","general",1.11,-1.05,0.33,"prof1",70.7,67.1,63,63.4,65.5
"female","english","middle","no","public","academic",1.16,0.03,1,"manager",70.7,67.1,61.2,60.7,70.5
"male","english","middle","no","public","academic",0.68,0.03,0.67,"prof2",71.2,63.2,60.2,65.5,65.5
"male","english","high","no","public","academic",0.68,0.03,0.33,"prof1",73.3,64.5,64,60.7,65.5
"male","english","middle","no","public","academic",0.46,0.03,0,"operative",73.3,61.9,73.1,68.8,65.5
"male","english","middle","no","public","academic",1.13,-0.6,0.67,"technical",73.3,67.1,71.3,63.4,65.5
"male","spanish","high","yes","public","academic",0.28,0.03,1,"prof2",73.3,64.5,68,63.4,70.5
"male","mandarin","high","yes","public","academic",0,0.15,0.33,"prof2",73.3,64.5,75.5,60.7,50.6
"female","english","high","no","public","academic",1.11,0.34,1,"prof2",73.3,67.1,62.3,58,65.5
"male","english","high","no","public","academic",0.02,0.13,0.33,"prof1",73.3,59.9,70.5,60.7,70.5
"female","spanish","high","yes","private","academic",0.42,-0.47,0.33,"prof2",73.3,61.2,57.4,54.7,65.5
"male","english","middle","no","public","academic",0.08,0.94,0.67,"prof2",73.3,61.9,60.5,71.5,55.6
"male","english","high","no","public","academic",-0.19,-0.73,0.67,"prof2",73.3,60.6,64.7,66.1,65.5
"male","english","high","no","public","academic",0.46,0.34,1,"prof1",76,52.1,64.1,63.9,60.5
"female","english","high","no","public","academic",1.13,0.87,1,"prof2",76,62.5,60,67.2,65.5
"female","english","middle","no","public","academic",0.25,-0.47,0.33,"prof2",76,67.1,72.2,66.1,65.5
